Year,Florida_Pop_Thousands,Miami_Dade_Pop_Thousands,FL_Implied_Net_Migration_Thousands,Miami_Implied_Net_Migration_Thousands
1971-01-01,7158.304,1325.0,366.8860000000004,57.208000000000084
1972-01-01,7511.463,1377.4,353.15899999999965,52.40000000000009
1973-01-01,7913.696,1409.5,402.2330000000002,32.09999999999991
1974-01-01,8298.762,1448.7,385.0660000000007,39.200000000000045
1975-01-01,8518.422,1493.3,219.65999999999985,44.59999999999991
1976-01-01,8667.379,1511.6,148.95700000000033,18.299999999999955
1977-01-01,8856.183,1530.8,188.8040000000001,19.200000000000045
1978-01-01,9102.032,1542.0,245.84899999999834,11.200000000000045
1979-01-01,9426.159,1584.6,324.1270000000004,42.59999999999991
1980-01-01,9839.835,1625.509,413.6759999999995,40.909000000000106
1981-01-01,10192.774,1710.38,352.9390000000003,84.8710000000001
1982-01-01,10471.407,1727.093,278.6329999999998,16.712999999999965
1983-01-01,10749.851,1744.006,278.4440000000013,16.91300000000001
1984-01-01,11039.925,1755.583,290.0739999999987,11.576999999999998
1985-01-01,11351.118,1776.908,311.1930000000011,21.324999999999818
1986-01-01,11667.505,1801.41,316.3869999999988,24.50200000000018
1987-01-01,11997.283,1831.362,329.77800000000025,29.951999999999998
1988-01-01,12306.395,1868.311,309.112000000001,36.94899999999984
1989-01-01,12637.715,1908.921,331.3199999999997,40.61000000000013
1990-01-01,13018.365,1943.717,380.64999999999964,34.79600000000005
1991-01-01,13289.497,1981.618,271.1319999999996,37.90099999999984
1992-01-01,13504.775,2011.174,215.27800000000025,29.55600000000004
1993-01-01,13713.593,2010.635,208.81800000000112,-0.5389999999999873
1994-01-01,13961.798,2044.512,248.20499999999993,33.87699999999995
1995-01-01,14185.403,2086.286,223.60499999999956,41.774000000000115
1996-01-01,14426.911,2130.937,241.5079999999998,44.65099999999984
1997-01-01,14683.35,2158.352,256.4390000000003,27.414999999999964
1998-01-01,14908.23,2180.081,224.8799999999992,21.72900000000027
1999-01-01,15111.244,2220.961,203.01400000000103,40.879999999999654
2000-01-01,16047.515,2258.567,936.2709999999988,37.60600000000022
2001-01-01,16356.966,2294.626,309.45100000000093,36.0590000000002
2002-01-01,16689.37,2328.391,332.40399999999863,33.76499999999987
2003-01-01,17004.085,2353.91,314.71500000000015,25.518999999999778
2004-01-01,17415.318,2381.73,411.2330000000002,27.820000000000164
2005-01-01,17842.038,2414.136,426.72000000000116,32.40599999999995
2006-01-01,18166.99,2438.982,324.95200000000114,24.846000000000004
2007-01-01,18367.842,2453.492,200.85199999999895,14.510000000000218
2008-01-01,18527.305,2478.745,159.46299999999974,25.2529999999997
2009-01-01,18652.644,2499.262,125.33899999999994,20.51700000000028
2010-01-01,18846.143,2506.986,193.4989999999998,7.723999999999705
2011-01-01,19055.607,2544.511,209.46399999999994,37.52500000000009
2012-01-01,19302.016,2576.473,246.40899999999965,31.96199999999999
2013-01-01,19551.678,2609.57,249.66200000000026,33.09700000000021
2014-01-01,19853.88,2634.056,302.20200000000114,24.485999999999876
2015-01-01,20219.111,2659.549,365.23099999999977,25.492999999999938
2016-01-01,20627.237,2689.89,408.1260000000002,30.340999999999894
2017-01-01,20977.089,2709.126,349.85199999999895,19.23600000000033
2018-01-01,21254.926,2709.711,277.83699999999953,0.5849999999995816
2019-01-01,21492.056,2711.612,237.13000000000102,1.9010000000002947
2020-01-01,21591.325,2695.729,99.26900000000023,-15.883000000000266
2021-01-01,21836.698,2669.925,245.3729999999996,-25.803999999999633
2022-01-01,22413.989,2713.415,577.2910000000011,43.48999999999978
2023-01-01,22929.248,2774.25,515.2589999999982,60.835000000000036
2024-01-01,23265.838,2838.461,336.59000000000015,64.21099999999979
